"Идентиф.";"Обозначение";"Посад.место";"Количество";"Значение";"Поставщик и справка";
1;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
2;"J1";"Molex_KK-396_5273-10A_1x10_P3.96mm_Vertical";1;"Conn_01x10_Pin";;;
3;"U2";"SO-14_3.9x8.65mm_P1.27mm";1;"LM2902";;;
4;"R25";"R_0603_1608Metric";1;"332";;;
5;"C8";"CP_Elec_8x10.5";1;"100uF,50V";;;
6;"R23,R17";"R_2512_6332Metric";2;"472";;;
7;"D7,D3,D4,D5,D15,D11,D6,D10";"D_2512_6332Metric";8;"D";;;
8;"SCR2,SCR3,SCR1";"TO-220-3_Vertical";3;"TIN416";;;
9;"R27,R19,R21,R20";"R_0805_2012Metric";4;"221";;;
10;"R31,R14";"R_0603_1608Metric";2;"823";;;
11;"R45,R44,R4";"R_0603_1608Metric";3;"0";;;
12;"R2A1,R2B1";"R_2512_6332Metric";2;"3900";;;
13;"R34";"R_0603_1608Metric";1;"222";;;
14;"T4,T3";"SOT-23";2;"1HW";;;
15;"R42";"R_0603_1608Metric";1;"104";;;
16;"T1";"SOT-23";1;"3BW";;;
17;"R7,R28";"R_0603_1608Metric";2;"152";;;
18;"RV1";"Potentiometer_Alps_RK163_Single_Horizontal";1;"R_Potentiometer";;;
19;"R35";"R_0603_1608Metric";1;"7502";;;
20;"C1,C13";"CP_Elec_6.3x5.4";2;"47uF,35V";;;
21;"C12,C6";"C_Rect_L11.0mm_W2.8mm_P10.00mm_MKT";2;"0.1uF";;;
22;"R5,R11";"R_0603_1608Metric";2;"1803";;;
23;"C5";"C_0603_1608Metric";1;"50nF";;;
24;"D2,D1";"D_DO-201AD_P15.24mm_Horizontal";2;"P600M";;;
25;"C10,C9";"C_0603_1608Metric";2;"0.1uF";;;
26;"R16";"R_0805_2012Metric";1;"022";;;
27;"R33";"R_0603_1608Metric";1;"475";;;
28;"R0";"R_2512_6332Metric";1;"0";;;
29;"R40";"R_0603_1608Metric";1;"2403";;;
30;"R1,R26";"R_2512_6332Metric";2;"101";;;
31;"R10";"R_0603_1608Metric";1;"103";;;
32;"R9";"R_0603_1608Metric";1;"155";;;
33;"D12,D9,D16,D14";"SOT-23";4;"A7W";;;
34;"C2";"CP_Elec_8x10.5";1;"33uF,50V";;;
35;"RV2";"Potentiometer_Alps_RK163_Dual_Horizontal";1;"R_Potentiometer";;;
36;"C7";"C_1206_3216Metric";1;"1.1uF";;;
37;"C11";"C_1206_3216Metric";1;"1uF";;;
38;"R6";"R_0603_1608Metric";1;"105";;;
39;"R13";"R_0603_1608Metric";1;"564";;;
40;"C14";"C_0603_1608Metric";1;"10n";;;
41;"R24";"R_0603_1608Metric";1;"333";;;
42;"R32,R3,R12";"R_0603_1608Metric";3;"123";;;
43;"R41";"R_0603_1608Metric";1;"153";;;
44;"RL1";"Relay_SPDT_Omron-G5LE-1";1;"HF3FF";;;
45;"T2";"SOT-23";1;"A92";;;
46;"DZ3,DZ2,DZ1";"D_2512_6332Metric";3;"BZV55C6V2";;;
47;"R43";"R_0603_1608Metric";1;"223";;;
48;"R18,R22";"R_0603_1608Metric";2;"682";;;
49;"R8";"R_0603_1608Metric";1;"474";;;
50;"R29";"R_0603_1608Metric";1;"220";;;
51;"R15";"R_0805_2012Metric";1;"220";;;
52;"C4";"C_0603_1608Metric";1;"4.7nF";;;
53;"R30";"R_0603_1608Metric";1;"822";;;
54;"C3";"C_1206_3216Metric";1;"2.5uF";;;
